2026-06-03 13:33:53 [INFO] [EventBus] Listeners cargados correctamente
2026-06-03 13:33:53 [WARN] OPENAI_API_KEY no configurada. El módulo IA no estará disponible.
2026-06-03 13:33:53 [INFO] Servidor corriendo en puerto 3000
2026-06-03 13:33:53 [INFO] DB conectada: {"now":{"now":"2026-06-03T18:33:53.292Z"}}
2026-06-03 13:33:53 [INFO] Ejecutando migraciones de base de datos...
2026-06-03 13:33:53 [INFO] Base de datos existente — omitiendo esquema completo
2026-06-03 13:33:53 [INFO] Migraciones completadas
2026-06-03 13:33:53 [INFO] Ejecutando migraciones node-pg-migrate...
2026-06-03 13:33:54 [INFO] Migraciones node-pg-migrate completadas
2026-06-03 13:33:54 [INFO]   ── GENERAL ──
2026-06-03 13:33:54 [INFO]   POST    /register
2026-06-03 13:33:54 [INFO]   POST    /login
2026-06-03 13:33:54 [INFO]   GET     /me
2026-06-03 13:33:54 [INFO]   POST    /
2026-06-03 13:33:54 [INFO]   GET     /
2026-06-03 13:33:54 [INFO]   PUT     /:id
2026-06-03 13:33:54 [INFO]   PATCH   /:id/estado
2026-06-03 13:33:54 [INFO]   DELETE  /
2026-06-03 13:33:54 [INFO]   DELETE  /:id
2026-06-03 13:33:54 [INFO]   GET     /
2026-06-03 13:33:54 [INFO]   GET     /:id
2026-06-03 13:33:54 [INFO]   POST    /
2026-06-03 13:33:54 [INFO]   PUT     /:id
2026-06-03 13:33:54 [INFO]   DELETE  /
2026-06-03 13:33:54 [INFO]   DELETE  /:id
2026-06-03 13:33:54 [INFO]   PATCH   /:id/estado
2026-06-03 13:33:54 [INFO]   POST    /programar
2026-06-03 13:33:54 [INFO]   GET     /dia
2026-06-03 13:33:54 [INFO]   GET     /estadisticas
2026-06-03 13:33:54 [INFO]   GET     /semanal
2026-06-03 13:33:54 [INFO]   POST    /programar
2026-06-03 13:33:54 [INFO]   POST    /reagendar
2026-06-03 13:33:54 [INFO]   GET     /bloques
2026-06-03 13:33:54 [INFO]   POST    /bloques
2026-06-03 13:33:54 [INFO]   PUT     /bloques/:id
2026-06-03 13:33:54 [INFO]   DELETE  /bloques/:id
2026-06-03 13:33:54 [INFO]   GET     /categorias
2026-06-03 13:33:54 [INFO]   POST    /categorias
2026-06-03 13:33:54 [INFO]   PUT     /categorias/:id
2026-06-03 13:33:54 [INFO]   DELETE  /categorias/:id
2026-06-03 13:33:54 [INFO]   GET     /notificaciones
2026-06-03 13:33:54 [INFO]   PUT     /notificaciones/leer-todo
2026-06-03 13:33:54 [INFO]   PUT     /notificaciones/:id/leer
